,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
S1,1,0,1,0,0,0,0,0,0,0
S2,0,1,1,0,0,0,0,0,0,0
S3,0,0,1,0,0,0,0,0,0,0
S4,0,0,1,1,1,0,0,0,0,0
S5,0,0,1,1,1,1,0,0,1,1
S6,1,0,1,0,1,1,0,0,0,1
S7,0,0,1,0,0,0,1,0,1,0
S8,1,1,1,0,0,0,1,1,1,0
S9,0,0,1,1,1,0,0,0,1,1
S10,0,0,1,1,1,1,0,0,1,1
