source,text
bilibili,国外油价高不高我们也不知道
bilibili,不矛盾，延迟退休是为了延迟发养老金
bilibili,老外买这些房子有啥用，地皮是国家的
bilibili,卷到全世界
bilibili,80
bilibili,建议70退
bilibili,房地产可以学学迪拜
bilibili,你钱给我，60岁还你，还是65岁再还你吧
bilibili,艹
bilibili,反正这些人又没有社保，没有退休概念
bilibili,70？
bilibili,赛博魔幻故事。
bilibili,国外30天年休假怎么不跟进
bilibili,对不起40岁的我拖后腿了，但是38岁前没有婚房又不是我的错←_←
bilibili,啊这
bilibili,多少有点大病。。。
bilibili,50叫大爷吗
bilibili,国外的医疗教育怎么不学学
bilibili,别人工资高怎么不学？
bilibili,渐进式：今年初一年级扫雪，明年初二年级扫雪
bilibili,退休了我就去开直播，美颜ai变声
bilibili,太原1370
bilibili,不是过剩，是不够卷了，他们想再来电浪卷一卷
bilibili,这几个行业还在扩招，还会更多
bilibili,无所谓，反正我啃老，不上班，几岁都和我没关系
bilibili,惨
bilibili,老年人退休工资比年轻人都高很多钱
bilibili,攒几十万哥们35就退休，回老家，买医保，在老家种点菜就开始养老生活了
bilibili,企业按最低标准上保险，说为企业减负，这养老金不够
bilibili,年轻人没工作不用给钱，退了休可是要给钱的
bilibili,那些退休老头老太婆嘿那么高工资干啥子？
bilibili,说这话的绝对不是留学的，是劳务输出的
bilibili,那你把收入，一个月的年休假也挂钩，不然别扯国外怎么怎么太
bilibili,90后太惨了
bilibili,不想交社保了
bilibili,我一工地上抗水泥的，你让我延迟退休，你良心会不会痛？
bilibili,你哪里看到的？ 我怎么没看到 开局一张嘴怎么爽怎么说呗
bilibili,延迟退休对应找不到工作………
bilibili,叫那些大企业别压榨员工，就自然会有源源不断的劳动力了
bilibili,35岁以上的工作多如牛毛，但是他们想要的是工作轻松，工资又高，发展潜力巨大的工作
bilibili,35岁的工作，多如牛毛，但是人家要的是高薪工作
bilibili,国外不是双休，是三休
bilibili,2050，90后的我已经是老年人了，我已经做好自己养自己老的准备了
bilibili,人家每年有多少假期
bilibili,毕业了你们还在交社保吗？
bilibili,你的薪资先跟上吧
bilibili,不交 你们自己去玩吧
bilibili,跟人家工作量一样吗？人家工作多轻松
bilibili,就冲这个。投币了
bilibili,这个针对单位吧？在企业的怎么办?怕45岁都莫名被开除
bilibili,可80后使劲嚯嚯吧
bilibili,中东啊
bilibili,房地产出口？？？不是你当房地产是货物吗可以随意搬运？？？
bilibili,这边建议你去那些找办公工作面试门边听一听，保证有人说自己能做更久工钱也更少的
bilibili,什么搞错因果顺序？你没见过就不要乱说好吗？
bilibili,什么搞错因果顺序？你没见过就不要乱说好吗？这边建议你去那些找文职的工作面试门边听一听，保证有人说自己能工作更久，工资更少的
bilibili,呵呵呵，还搞错因果顺序，还被迫内卷，你没有见过为了拿到工作就内卷的人就别乱说好吗？人家说的就是没错，我们劳动力并不缺，甚至还过剩了以至于人家要内卷
bilibili,80后基本躺了所有的坑
bilibili,没有工作何来退休
bilibili,不是吧，这个年龄段也不会65退休，那到时候还是不够啊
bilibili,唉，80后啥都能碰上。
bilibili,人生实苦啊
bilibili,背井离乡出来打工也就算了，还要被排往国外，那大V是人吗
bilibili,你是铁锤，AI机器人
bilibili,你让90后如何自处？薪资不加，各种保险是一样不少，非要逼得全部退保？
bilibili,麻烦把考公岁数移到45岁
bilibili,那来说说人家每年休假多少天？好的不学？！
bilibili,但是这个服务业有问题的，能否有那么多的消费支撑起海量的老年再就业岗位？
bilibili,还真是
bilibili,胡说八道，逻辑混乱
bilibili,我们居然是按照7300元缴纳的
bilibili,又来？
bilibili,目标就是多交少拿
bilibili,娃哈哈裁应届生也是毫不心软的，别吹了
bilibili,工资请先跟上
bilibili,啊对就是我啦超35没到60正在找工作
bilibili,宗庆后死的时候79…
bilibili,1/5
bilibili,国外双休怎么不跟进
bilibili,成都
bilibili,不交保险呗
bilibili,此处@任正非
bilibili,我爸妈就是这段时间出生的，不过因为是老国企（已经破产），他们早都办理了内退，在家待了3，4年了
bilibili,可国外程序员可以干到50+哦
bilibili,50还不大爷？你以为自己身体很好？
bilibili,没办法啊  个个都不想结婚生子  都没年轻劳动力了  所以你不生子就做多五年咯
bilibili,去年俺也算过了
bilibili,这就说到点子上了
bilibili,前面深圳看看江苏的基数吧
bilibili,唉。。。
bilibili,我们这社保交15年就可以了，想多交多拿钱也可以，不交不拿也可以
bilibili,1450
bilibili,@华为
bilibili,退休了我就去开网约车
bilibili,别梦了 你没编制 退休这个词语和你没关系
bilibili,无所谓了，世界如何变化你又左右不了
bilibili,企业的没算上
bilibili,35就很难找工作了
bilibili,50年80后都退休了
bilibili,我们厂也是新员工进来死命做，几个月后嫌工资低得不到重用跑了，但涨上去的指标可不会降，留下的人只能卧槽了
bilibili,不同的年龄也有不同的反应
bilibili,幸运?活这么久算幸运?
bilibili,那不存在，失业后有的是时间，天天参加葬礼都没问题
bilibili,就是我爸
bilibili,可喜可贺，哈哈哈哈
bilibili,还有外包呢，想不被辞退都难哈哈哈
bilibili,没看到报道啊
bilibili,50岁都叫大爷了…
bilibili,我想知道延迟退休算不算毁约
bilibili,涨工资？你以为你登录过月球啊
bilibili,听说国外一周休两天
bilibili,不矛盾，只要优质人才，差一点都不带看的
bilibili,62岁找不到工作
bilibili,女人49岁退休，男人69岁退休
bilibili,30-49岁，50-69岁是企业中坚
bilibili,没有弹幕？
bilibili,80后65岁退休，90后68岁退休，00后估计是70岁退休啦
bilibili,美国不缺劳动力啊，日本老龄化严重
bilibili,那为什么假期不跟上？
bilibili,每个县区市都有劳动大楼
bilibili,好的不学
bilibili,已经在宣传东南亚旅游了，下一个就是东南亚就业
bilibili,该有的样子？！说天书呢
bilibili,请问富人有这个问题吗？
bilibili,人家50-70岁是有工作的
bilibili,俄罗斯乌克兰伊朗伊拉克阿富汗巴勒斯坦以色列，机会太多了
bilibili,60去保安吗
bilibili,60岁还要推迟那就别交了，退休活不了十年就得入土了我犯得着给你交大半辈子钱
bilibili,三十年河东，三十年河西，你还想稳定地工作到退休？
bilibili,这就是影响当地劳动市场格局 自然不受欢迎
bilibili,其实把现有提前退休的都取消了就能缓解了，现在都是50就退了
bilibili,没创新的时候就应该做一些不用脑子的工作了
bilibili,女工人退休年龄过早了
bilibili,这建议很妙
bilibili,王宝强？
bilibili,绝了
bilibili,支持博主
bilibili,几年前的老新闻了，大叔
bilibili,这类不算就业 顶多算活着
bilibili,最终结果哈哈哈
bilibili,45岁都找不到工作了，60退休有什么关系
bilibili,退休这个词只适用于体制内，但是养老金的发放不仅是体制内
bilibili,人太多了
bilibili,能不能把我之前交的社保钱还给我
bilibili,把上海房子卖了 现在40岁就能退休 我还管国家规定几岁退
bilibili,所以现在的年轻人谁交五险一金谁傻 到时候都没有
bilibili,菲律宾
bilibili,我45退休，我的规矩就是规矩
bilibili,看来以后不能再乱花钱了。
bilibili,要相信后人的智慧跟才智，他们会一直砥砺前行跟自强不息的
bilibili,那问题来了，生产过剩怎么办？
bilibili,我60岁比18小伙都壮，我能呆得住吗，必须支持
bilibili,一线以下城市，超过一万的降至一万
bilibili,工作稳定是不可能的 现在没有那么多铁饭碗
bilibili,实际工资的涨幅远低于名义工资
bilibili,走向海外也卡年龄，企业怕年龄大的身体不好出意外赔钱，所以50多岁的既没退休金也找不到工作。
bilibili,那时候能找到工作已经很幸福了
bilibili,我36了都还不敢结婚
bilibili,都不知道自己能不能活到65
bilibili,国外还有每周四天工作制的呢
bilibili,没毛病
bilibili,延迟退休唯一影响的就是生育
bilibili,有钱人太有钱了，难以想象
bilibili,50岁就大爷了？那我真快大爷了
bilibili,延迟的话，马上退保
bilibili,执行可以，但是不能太晚
bilibili,緊缺？？？都沒工作還緊缺
bilibili,我爸才60就没了，你觉得我能交？
bilibili,62 大概率看大门  扫大街
bilibili,这样的话，年轻人可以躺平了…因为找工作难啊！
bilibili,真的应该给小费，给不起就别点外卖，出去吃会死吗？
bilibili,35岁失业的路过。。。
bilibili,35不是嫌老是35岁家里事会比较多
bilibili,很多年轻人的工资远没有退休人员的退休金高，几个年轻人才能养得起一个退休的，这当然不够
bilibili,有不同的反应？
bilibili,啊？不是现在已经收不抵支了吗？是靠转移支付的
bilibili,可你拖着不发~我这边没工作了怎么生活呢
bilibili,50年我都66了...
bilibili,2000块钱可以返聘老员工继续做事，可请不到新员工啊
bilibili,唉
bilibili,你是锤子
bilibili,绝！！
bilibili,退保
bilibili,国外每天工作8小时不到  你也可以吗？人家假期100多天你也可以？
bilibili,TM有病，40岁后有工作吗？
bilibili,我能干 15 小时，全年无休
bilibili,投币了
bilibili,这个AI声线有点东西啊
bilibili,破防了
bilibili,已退休的可以少拿一点吗？
bilibili,6
bilibili,这个比喻太生动了
bilibili,而且要接着交
bilibili,我妈常说《你咋好的不学学坏的》
bilibili,养老保险
bilibili,不交退休就就完事了，反正将来都是无牵无挂，有钱多就买套房，到时候走不动就卖掉去养老院等死。
bilibili,这也只是最好的情况
bilibili,那就35岁结婚生孩子
bilibili,1710了
bilibili,如果我都不一定能活到领退休金的年龄，那缴纳养老保险的意义是什么？为社会做贡献？
bilibili,为了医疗保险，只能努力打工
bilibili,加拿大男女35岁找得到工作吗？
bilibili,工作到孩子大学毕业直接辞职，管它延迟到多少岁
bilibili,加拿大男女65岁退休已经超过50年了。
bilibili,2023北京每月1900社保
bilibili,好比炒股，不管股民是赚还是亏，交易费用不能少
bilibili,而且这些人的压力很大，正值壮年
bilibili,我第一个报名
bilibili,只是为了晚发钱少发钱
bilibili,劳务派遣
bilibili,你管五十岁的年轻人叫大爷？
bilibili,35提前退休没60的事了
bilibili,30岁没工作
bilibili,我70岁开网约车，你敢坐吗？
bilibili,我年轻工作的时候绝对比外卖员跑的路多
bilibili,父母领取的养老金是你 交养老金的3倍你就交 不是 你交了也是给别人的
bilibili,人家都延迟到67了，咱不能落后，起码70起
bilibili,想多了，那时一家三代都在家里蹲大学当坐家。时间多的是。
bilibili,和我有啥关系
bilibili,哈哈哈哈哈哈哈哈
bilibili,出院！
bilibili,咱们国情不同
bilibili,我退的时候会延到75
bilibili,过于乐观哦，那时候哪有那么多人
bilibili,65就是终点？乐观了，70起
bilibili,退社保
bilibili,不工作没钱那还不是得工作
bilibili,通胀你不涨那还过得下去？
bilibili,佛山最低1368
bilibili,人家延迟退休是增加上班年龄上限，领退休金的年龄可没有延迟
bilibili,还没算外包了
bilibili,关键是我压根找不到工作
bilibili,养老金…
bilibili,上海2600了
bilibili,但如果你不生孩子将没有这些烦恼
bilibili,哈哈哈哈
bilibili,哈哈哈哈哈哈哈哈哈哈哈哈
bilibili,笑死
bilibili,哈哈哈
bilibili,不要内卷要外卷
bilibili,无所谓
bilibili,唉，太心酸了
bilibili,加前提，城镇居民
bilibili,（足额）
bilibili,随着技术进步会取代更多人，生产力发展了生产过剩了却没钱买东西了！
bilibili,时代发展生产力进步了，人的劳动时间应该逐渐减少呀
bilibili,以部分行业的工作强度，有时候感觉真不一定能活到退休。
bilibili,《可能》
bilibili,不会吧
bilibili,不会占，基本上没有单位招60岁的
bilibili,现在年轻人有什么岗位？
bilibili,等不到未来了，我按现在这个工作强度活不了那么久
bilibili,关键词：将来
bilibili,多新鲜啊？岗位不够多创造岗位，怎么创造啊？
bilibili,分配分配啊
bilibili,谁问你了？
bilibili,贷款去基层？
bilibili,学费·贷款·优惠？基层？大学生？
bilibili,啊？
bilibili,您怎么看
bilibili,具体怎么做？
bilibili,不看了，闹心，退了
bilibili,不会吧，不会吧。
bilibili,原来人在无语的时候真的会笑
bilibili,别结巴了，
bilibili,听君一席话，如听一席话
bilibili,“我觉得”
bilibili,不会不会吧
bilibili,不遵守的是不是应该处罚，不能指望自律
bilibili,你说的这些废话和延退有关系吗？
bilibili,加班只是变得不要那么普遍？
bilibili,随着技术的进步，机器人取代了更多的岗位
bilibili,一天干12小时？
bilibili,相关？
bilibili,真的吗？多久？
bilibili,别贷款了。。。
bilibili,？
bilibili,这个领导说的也没有比考公面试的人说的好到哪里去
bilibili,挣的没几个钱，都达不到个人所得税的交税标准。
bilibili,偏题啦～
bilibili,当然会
bilibili,无语
bilibili,现实是生产力提高了就要干更多的活
bilibili,技术进步取代大量岗位
bilibili,这院长知道自己在说什么吗？
bilibili,（创业）
bilibili,套话
bilibili,希望吧
bilibili,你觉得？
bilibili,？？？？？？？
bilibili,钢铁我们发展时间比较长，产业工人比较丰富
bilibili,how to do?
bilibili,明知故问
bilibili,贷款哈哈哈哈哈哈笑死我了
bilibili,啊？和环境有关系吗？多大关系？
bilibili,如说
bilibili,从来不关心这些事，给我个工作就行
bilibili,你就说会不会把
bilibili,你在说啥［捂脸］
bilibili,基层意思是去送外卖
bilibili,哈哈哈哈哈哈
bilibili,说的啥啊一句听不懂
bilibili,还创业呢
bilibili,不会吧叫啥名来着
bilibili,省流：会
bilibili,沉默不语
bilibili,看完浪费我四分钟
bilibili,不会吧又是你
bilibili,小额贷款支持，哈哈哈哈
bilibili,砖家你愿意吗
bilibili,你是年轻人嘛
bilibili,啊？创业？
bilibili,不会，因为到40开始就会被企业嫌弃
bilibili,创业？？？hhh
bilibili,岗位有限机会再大有用吗
bilibili,去基层送外卖
bilibili,这个金维刚院长，他是怕被网暴吗？他讲话都在颤抖
bilibili,现在很多公司都在卡年龄，过了35的，你再去应聘不是保安就是保洁
bilibili,基层
bilibili,施工呢？
bilibili,没词了吧？ 小额贷款doushuoshangle
bilibili,没答到点子上
bilibili,你听听你说的东西自己听得懂吗？
bilibili,《期待》
bilibili,我觉得 我想
bilibili,拿出制度和法条来，才能得到保障
bilibili,…
bilibili,适应性是吧
bilibili,讲的好矛盾啊
bilibili,带薪年假是什么玩意？
bilibili,过了四十除了外卖滴滴快递保安，你去找个正经工作看看
bilibili,哈哈
bilibili,一过40就难找工作了。
bilibili,就没考虑过岁数大了还能找到工作吗
bilibili,不用解释了
bilibili,无人机外卖，这样就可以替换人了，让人来操作飞行
bilibili,我1900也在基层呀
bilibili,不是不想加班，是加班应该给加班工资，而不是被白嫖
bilibili,整个对话就是矛盾的，科技进步不用那么多劳动力了，又说劳动力不足
bilibili,你猜我为什么要贷款
bilibili,65太小了，农村老人80还能下地干活呢
bilibili,我觉得我七十还能干
bilibili,太理所当然
bilibili,基本的哈哈
bilibili,专家自己都知道自己在说什么，也难为他了哈哈哈
bilibili,送外卖也是就业机会。。
bilibili,不会吧？！
bilibili,我不看
bilibili,我愿意啊
bilibili,可以理解
bilibili,不知所云
bilibili,996怎么可能还月薪3000？
bilibili,小地方三千不错了，知足吧
bilibili,但是有的行业50岁退休太早了
bilibili,如听
bilibili,“相关”
bilibili,应该严格的实行劳动法 确保劳动者利益
bilibili,还3000呢 2000
bilibili,未来是多久
bilibili,电商干了，实体经济会好很多
bilibili,我愿意，有社保
bilibili,。。。
bilibili,好
bilibili,哈哈哈哈，创业!
bilibili,看你说话磕磕绊绊的样子就好笑！
bilibili,这是好事啊
bilibili,贷款？为啥不是资助？
bilibili,那么多新生资源不利用专门挑老的干不动活儿的？
bilibili,老白你怎么又这么尖锐了
bilibili,？？？
bilibili,贷款就算鼓励了
bilibili,加班从来都不是问题，问题是加班工资怎么保证
bilibili,他们都有了正确答案 为什么世界还没有变化？
bilibili,其实讨论的不是现在退休老人再就业问题 而是我们这一代年轻人年老后的就业问题毕竟我们这一代很大概率迎来70岁退休
bilibili,禁止套娃
bilibili,加上之前的问题400字超了～狗头保命
bilibili,这个题目就是个钓鱼的，测试忠诚度，一点点反叛感就是低分
bilibili,乞丐给财神爷出主意，给爷整笑了
bilibili,应届退休生
bilibili,妙啊
bilibili,倒反天罡
bilibili,完美闭环
bilibili,都是空谈，标准套话，只是为了应付考试
bilibili,实际上问题倒推写建议基本等于没建议，不过这是写申论
bilibili,哈哈哈，所以成功率多少呢
bilibili,因果倒置？？厉害！！！
bilibili,割裂感才是真的问题
bilibili,《购买保险》
bilibili,应届退休
bilibili,霍，跟我答得大差不差doge
bilibili,不懂就问，这些措施用年轻人身上，那不就不会有这么多人考公了么？
bilibili,总座高见
bilibili,屁话连天
bilibili,老师高见！
bilibili,屁话。。。
bilibili,很好，直接闭环了
bilibili,前两个小标题我写对了，第三个没有，第四第五我也这么写的
bilibili,说两句剪一下说两句剪一下，建议直接读文案
bilibili,不错，就是超字数了
bilibili,这个我写了，时长与工资挂钩
bilibili,你猜猜我为什么来考公？
bilibili,实时证明当个人，没啥技术含量
bilibili,6慈欣：刘
bilibili,这才是真专家
bilibili,只要没有退休，就不存在问题了
bilibili,感觉非常不切实际
bilibili,闭环了，哈哈
bilibili,我r
bilibili,这也是我的问题
bilibili,出院
bilibili,这是可以说的吗
bilibili,子女：我TM都快失业了
bilibili,商业保险和单工伤保险而已
bilibili,劳务合同而已
bilibili,看看现在的生态。。。
bilibili,这些能先给年轻人做到吗
bilibili,高，实在是高，我缺氧了
bilibili,我就想问一下，工作强度低，假期多，病假多，工资还有保障的工作，大学生能不能去应聘
bilibili,这不都会吗？怎么社会没改善呢？
bilibili,现在哪些岗位35岁以上的劳动力？
bilibili,hhhh
bilibili,老师&高见
bilibili,企业：社会责任感wdnmd
bilibili,完了，就写对了四条，认可度那条漏掉了
bilibili,子女都找不到工作
bilibili,不像玩笑
bilibili,666666
bilibili,空谈
bilibili,被恶心到了
bilibili,年轻人的工作有这待遇的嘛
bilibili,支持安乐死
bilibili,这准备考试的，别来这钻牛角尖
